sentence,English Translation,Sentence Type,POS Tags,Phrase Structure,Annotated Trees,Unnamed: 6,Unnamed: 7,Unnamed: 8,Notes
"Mo rá a??, inú mì í dún","I bought clothes, I was pleased.",Compound,"PRON VERB NOUN, PRON VERB PRON","S ? S , S",(IP (IP (NP Mo) (VP rà (NP a??))) (IP (NP inú mi) (VP dùn)))),,,,Comp
Òun ni mo f?? rí.,It is her that I want to see.,Focus,PRON FOC PRON AUX VERB,S ? FocP VP,(IP (NP Òun) (VP ni (CP (C Ø) (IP (NP mo) (VP f?? rí)))))),,,,Focus
"Ilé yìí, W??n k?? ó.","This house, they built it.",Topicalization,"NOUN DET, PRON VERB PRON",S ? Topic S,(IP (NP Ilé yìí) (IP (NP W??n) (VP k?? ó))),,,,Topical
Òjò ? r?.,It is raining.,Simple,NOUN AUX VERB,S ? NP VP,(IP (NP Ø) (VP ? r? (NP Òjò)))),,,,—
W??n ? ka ìwé náà.,They are reading the book.,Simple,PRON AUX VERB NOUN DET,S ? NP VP,(IP (NP W??n) (VP ? ka (NP ìwé náà)))),,,,—
?é Adép??jú wà ní ilé?,Is Adepeju at home?,Interrogative,Q NOUN AUX PREP NOUN,S ? Q NP VP,(CP (QP ?é) (IP (NP Adép??jú) (VP wà (PP ní ilé))))),,,,Ques
Kò f?? bá mi s??r??.,He/She doesn’t want to talk to me.,Negative,NEG AUX VERB PRON VERB,S ? Neg VP,(IP (NP Ø) (VP kò (VP f?? (VP bá mi s??r??))))),,,,Neg
J?un kí o tó l?.,Eat before you go.,Imperative,VERB CONJ PRON PART VERB,S ? VP; S ? VP CP,(IP (VP J?un (CP (C kí) (IP (NP o) (VP tó l?)))))),,,,"Embed, SVC"
"Ìyá mi ?èrànw??, mo dup??.","My mother helped, I gave thanks.",Compound,"NOUN POSS VERB, PRON VERB","S ? S , S",(IP (NP W??n) (VP m?? (CP (C pé) (IP (NP mo) (VP wá (PP sí ?jà))))))),,,,Comp
W??n m?? pé mo wá sí ?jà.,They know that I came to the market.,Complex,PRON VERB COMP PRON VERB PREP NOUN,S ? NP VP CP,(IP (NP Àwòrán tí mo ya yìí) (VP dara)),,,,Embed
Àwòrán tí mo ya yìí dara.,This picture I took is beautiful.,Relative Clause,NOUN REL PRON VERB DET ADJ,NP ? NP CP,(IP (NP Ilé) (VP ni (CP (C Ø) (IP (NP mo) (VP f??)))))),,,,Embed
Ilé ni mo f??.,It is the house that I want.,Focus,NOUN FOC PRON AUX VERB,S ? FocP VP,(IP (NP ??bùn náà) (VP ó dara)),,,,Focus
"??bùn náà, ó dara","That gift, I liked it.",Topicalization,"NOUN DET, PRON VERB PRON",S ? Topic S,(IP (NP W??n) (VP f?? (VP k? (NP ilé tuntun))))),,,,Topical
W??n f?? k? ilé tuntun.,They want to build a new house.,SVC,PRON AUX VERB NOUN ADJ,S ? NP VP,(IP (NP Ø) (VP kò (VP rí (NP ?k? r??))))),,,,—
Kò rí ?k? r??.,He/She didn’t see her husband.s,Negative,NEG VERB NOUN POSS,S ? Neg VP,(CP (QP ?é) (IP (NP Tàíwò) (VP j?un)))),,,,Neg
?é Tàíwò j?un?,Did Taiwo eat?,Interrogative,Q NOUN VERB,S ? Q NP VP,(IP (VP Lo (NP agbára yìí))),,,,Ques
Lo agbára yìí.,Use this strength.,Imperative,VERB NOUN DET,S ? VP,(IP (NP Arákùnrin náà) (VP s? (CP (C pé) (IP (NP w??n) (VP yá (NP ilé))))))),,,,—
Arákùnrin náà s? pé w??n yá ilé.,The man said that they rented a house.,Complex,NOUN DET VERB COMP PRON VERB NOUN,S ? NP VP CP,(NP (NP Ilé) (CP (C tí) (IP (NP w??n) (VP k??))) (NP náà) (ADJP tóbi))),,,,Embed
Ilé tí w??n k? náà tóbi.,The house they built is big.,Relative Clause,NOUN REL PRON VERB DET ADJ,NP ? NP CP,(IP (IP (NP Mo) (VP rí ??)) (IP (NP ó) (VP yà mí l??nu)))),,,,Embed
"Mo rí ??, ó yà mí l??nu.","I saw you, I was surprised.",Compound,"PRON VERB PRON, PRON VERB PRON","S ? S , S",(IP (NP ?r? mi) (VP ni (CP (C Ø) (IP (NP mo) (VP pè)))))),,,,Comp
?r? mi ni mo pe.,It is my friend that I called.,Focus,NOUN POSS FOC PRON VERB,S ? FocP VP,(IP (NP À?? tuntun náà) (IP (NP mo) (VP rà á)))),,,,Focus
"À?? tuntun náà, mo ra á.","That new cloth, I bought it.",Topicalization,"NOUN ADJ DET, PRON VERB PRON",S ? Topic S,(IP (NP W??n) (VP f?? (VP gbé e)))),,,,Topical
W??n f?? gbé e.,They want to carry it.,SVC,PRON AUX VERB PRON,S ? NP VP,(IP (NP Mo) (VP k?? m?? (CP (C pé) (IP (NP ó) (VP sùn)))))),,,,—
Mo k?? m?? pé ó sùn.,I didn’t know he slept.,Complex,PRON VERB COMP PRON VERB,S ? NP VP CP,(IP (NP ?m? náà) (VP ? sùn)),,,,Embed
?m? náà n? sùn.,The child is sleeping.,Simple,NOUN DET AUX VERB,S ? NP VP,(CP (QP ?é) (IP (NP ?m? náà) (VP sun)))),,,,—
?é ?m? náà sun?,Is the child asleep ,Interrogative,Q NOUN POSS AUX,S ? Q NP VP,(IP (NP Màmá mi) (VP kú (PP ní ?dún y?n)))),,,,Ques
Màmá mi kú ní ?dún y?n.,My mother died that year.,Simple,NOUN POSS VERB PREP NOUN DET,S ? NP VP,(IP (VP Gbé (NP ìwé náà))),,,,—
Gbé ìwé náà.,Carry the book.,Imperative,VERB NOUN DET,S ? VP,(IP (NP Ø) (VP kò (VP ní l? (PP sí ??fíìsì))))),,,,—
Kò ní l? sí ??fíìsì.,He will not go to the office.,Negative,NEG AUX VERB PREP NOUN,S ? Neg VP,(CP (QP ?é) (IP (NP w??n) (VP ti dé)))),,,,Neg
?é w??n ti dé?,Have they arrived?,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(IP (VP ?àkí (PP l? (PP sí ilé ìwé))))),,,,Ques
?àkí l? sí ilé ìwé.,Saki went to school.,Simple,NOUN VERB PREP NOUN NOUN,S ? NP VP,(IP (VP Mú (NP omi) (VP wá))),,,,—
Mú omi wá.,Bring water here.,Imperative,VERB NOUN VERB,S ? VP,(CP (CP (C Bí) (IP (NP o) (VP bá f??))) (IP (NP o) (VP lè l?)))),,,,—
"Bí o bá f??, o le l?.","If you want, you can go.",Conditional,"CONJ PRON AUX VERB, PRON AUX VERB","S ? CP , S",(IP (NP Ìw? ??m? yìí)),,,,"Embed, Comp"
Ìw? ??m? yìí!,You this child! ,Exclamatory ,PRON NOUN PRON,S—NP NP,(IP (NP Mó) (VP wà pa)),,,,—
Mó wà pa,I am fine ,Simple ,PRON VERB VERB ,S— NP VP,(IP (NP Adé) (VP ? j?un (PP ní ilé))),,,,—
Adé ? j?un ní ilé.,Ade is eating at home.,Simple,NOUN AUX VERB PREP NOUN,S ? NP VP,(CP (QP ?é) (IP (NP àw?n ?m?) (VP wà (PP nílé))))),,,,—
?é àw?n ?m? wà nílé?,Are the children at home?,Interrogative,Q DET NOUN AUX PREP NOUN,S ? Q NP VP,(IP (NP Ø) (VP kò (VP f?? (VP l? (PP sí ilé ìj?sìn)))))),,,,Ques
Kò f?? l? sí ilé ìj?sìn.,He/She doesn’t want to go to church.,Negative,NEG AUX VERB PREP NOUN,S ? Neg VP,(IP (VP ?í (NP il??kun))),,,,Neg
?í il??kun!,Open the door!,Imperative,VERB NOUN,S ? VP,(IP (IP (NP Wálé) (VP ka (NP ìwé))) (IP (NP o) (VP sùn))),,,,—
"Wálé ka ìwé, o sùn.","Wale read a book, then sleep.",Compound,"NOUN VERB NOUN, CONJ PRON VERB","S ? S , S",(IP (NP Mo) (VP gb?? (CP (C pé) (IP (NP ó) (VP ? sunkún)))))),,,,Comp
Mo gb?? pé ó ? sunkún.,I heard that he/she is crying.,Complex,PRON VERB COMP PRON AUX VERB,S ? NP VP CP,(IP (NP ?m? tí mo rí yìí) (VP dára)),,,,Embed
?m? tí mo rí yìí dára.,The child I saw is good.,Relative Clause,NOUN REL PRON VERB DET ADJ,NP ? NP CP,(IP (NP Ìwé) (VP ni (CP (C Ø) (IP (NP mo) (VP f?? (VP ra)))))),,,,Embed
Iwe ni mo f?? ra.,It is a book that I want to buy.,Focus,NOUN FOC PRON AUX VERB,S ? FocP VP,(IP (NP Àw?n a?áájú náà) (VP w??n s??r??)),,,,Focus
"Àw?n a?áájú náà, w??n s?r??.","The leaders, they spoke.",Topicalization,"DET NOUN DET, PRON VERB",S ? Topic S,(IP (NP W??n) (VP f?? (VP ra (NP ?k? tuntun))))),,,,Topical
W??n f?? ra ?k? tuntun.,They want to buy a new car.,SVC,PRON AUX VERB NOUN ADJ,S ? NP VP,(IP (NP Olú) (VP kó (NP àw?n ?m?) (VP wá)))),,,,—
Olú kó àw?n ?m? wá.,Olu brought the children.,Simple,NOUN VERB DET NOUN VERB,S ? NP VP,(CP (QP ?é) (IP (NP ìyá r??) (VP wà (PP n’lé))))),,,,—
?é ìyá r?? wà n’lé?,Is your mother home?,Interrogative,Q NOUN POSS AUX PREP NOUN,S ? Q NP VP,(IP (NP Ø) (VP kò (VP kí (VP ? kí (NP ?ni náà)))))),,,,Ques
Kò kí ? kí  ?ni náà,He/She did not greet the person.,Negative,NEG VERB NOUN DET,S ? Neg VP,(IP (VP J? kí (IP (NP w??n) (VP gbà á)))),,,,Neg
J? kí w??n gbà á.,Let them accept it.,Imperative,VERB CONJ PRON VERB PRON,S ? VP,(IP (IP (NP Mo) (VP sùn)) (IP (NP ó) (VP jí))),,,,—
"Mo sùn, ó jí.","I slept, he/she woke up.",Compound,"PRON VERB, PRON VERB","S ? S , S",(IP (NP Tunde) (VP s? (CP (C pé) (IP (NP ó) (VP ní (NP àrùn))))))),,,,Comp
Tunde s? pé ó ní àrùn.,Tunde said that he is sick.,Complex,NOUN VERB COMP PRON AUX NOUN,S ? NP VP CP,(NP (NP Ilé) (CP (C tí) (IP (NP w??n) (VP k??))) (NP náà) (ADJP sàn))),,,,Embed
Ilé tí w?n k? náà sàn.,The house they built is better.,Relative Clause,NOUN REL PRON VERB DET ADJ,NP ? NP CP,(IP (NP Bùkátì) (VP ni (CP (C Ø) (IP (NP w??n) (VP f??)))))),,,,Embed
Bùkátì ni w??n f??.,It is Bukati that they want.,Focus,NOUN FOC PRON AUX,S ? FocP VP,(IP (NP ??k?? yìí) (IP (NP mo) (VP gbà á))),,,,Focus
"??k?? yìí, mo gbà á.","This lesson, I accepted it.",Topicalization,"NOUN DET, PRON VERB PRON",S ? Topic S,(IP (NP Adé) (VP f?? (VP fi (NP agbára) (VP ?i???))))),,,,Topical
Adé f?? fi agbára ?i???.,Ade wants to use strength to work.,SVC,NOUN AUX PREP NOUN VERB,S ? NP VP,(IP (NP Ade) (VP dé (NP ilé)))),,,,—
Ade de ile ,Ade got hime ,Simple ,NOUN VERB NOUN ,S— NP VP NP,(IP (NP Olú àti Adé) (VP l? (PP sí ?jà)))),,,,—
Olú àti Adé l? sí ?jà.,Olu and Ade went to the market.,Compound,NOUN CONJ NOUN VERB PREP NOUN,S ? NP CONJ NP VP,(CP (QP ?é) (IP (NP w??n) (VP f?? (VP k?? (NP ìwé tuntun)))))),,,,—
?é w?n f?? k?? ìwé tuntun?,Do they want to write a new book?,Interrogative,Q PRON AUX VERB NOUN ADJ,S ? Q NP VP,(IP (NP Ø) (VP kò (VP f?? (CP (C kí) (IP (NP ó) (VP l?))))))),,,,Ques
Kò f?? kí ó l?.,He doesn’t want him to go.,Negative,NEG AUX CONJ PRON VERB,S ? Neg VP CP,(IP (VP F?? (NP a?? náà))),,,,"Embed, Neg"
F?? a?? náà!,Wash the cloth!,Imperative,VERB NOUN DET,S ? VP,(IP (IP (NP Bàbá r??) (VP wá)) (IP (NP ó) (VP rá (NP a??))))),,,,—
"Bàbá r?? wá, ó rá a??.","Your father came, and he bought cloth.",Compound,"NOUN POSS VERB, PRON VERB NOUN","S ? S , S",(IP (NP Mo) (VP m?? (CP (C pé) (IP (NP òun) (VP ló ?e é)))))),,,,Comp
Mo m?? pé òun ló ?e é.,I know that he is the one who did it.,Complex,PRON VERB COMP PRON FOC VERB PRON,S ? NP VP CP,(NP (NP Ilé) (CP (C tí) (IP (NP w??n) (VP rà))) (NP yìí) (ADJP tóbi))),,,,Embed
Ilé tí w??n ra yìí tóbi.,The house they bought is big.,Relative Clause,NOUN REL PRON VERB DET ADJ,NP ? NP CP,(CP (CP (C Bí) (IP (NP Adé) (VP bá dé))) (IP (NP kí) (IP (NP o) (VP l?))))),,,,Embed
"Bí Adé bá dé, kí o l?.","If Ade arrives, then you go.",Conditional,"CONJ NOUN AUX VERB, CONJ PRON VERB","S ? CP , S",(IP (NP Igi) (VP ni (CP (C Ø) (IP (NP mo) (VP gé)))))),,,,"Embed, Comp"
Igi ni mo ge.,It is wood that I cut.,Focus,NOUN FOC PRON VERB,S ? FocP VP,(IP (NP ?ja yìí) (IP (NP mo) (VP j?? é))),,,,Focus
"?ja yìí, mo j?? é.","This fish, I ate it.",Topicalization,"NOUN DET, PRON VERB PRON",S ? Topic S,(IP (NP ?m? náà) (VP ? k?rin)),,,,Topical
?m? náà n? k?rin.,The child is singing.,Simple,NOUN DET AUX VERB,S ? NP VP,(CP (QP ?é) (IP (NP w??n) (VP wà (PP nínú ilé))))),,,,—
?é w?n wà nínú ilé?,Are they inside the house?,Interrogative,Q PRON AUX PREP NOUN,S ? Q NP VP,(IP (NP Ø) (VP kò (VP ní j?un (NP lónìí))))),,,,Ques
Kò ní j?un lónìí.,He will not eat today.,Negative,NEG AUX VERB ADV,S ? Neg VP,(IP (VP K??wé (CP (C kí) (IP (NP o) (VP tó sùn)))))),,,,Neg
K??wé kí o tó sùn!,Write before you sleep!,Imperative,VERB CONJ PRON CONJ VERB,S ? VP,(IP (IP (NP Adé) (VP ka (NP ìwé))) (IP (NP Mo) (VP rí i))),,,,—
"Adé ka ìwé, Mo rí i.","Ade read the book, I saw him.",Compound,"NOUN VERB NOUN, PRON VERB PRON","S ? S , S",(IP (NP ?j?? tí w??n l?) (VP wà (NP lónìí))),,,,Comp
?j?? tí w?n l? wà lónìí.,The day they left is today.,Relative Clause,NOUN REL PRON VERB AUX ADV,NP ? NP CP,(IP (NP Ìwé náà) (VP ni (CP (C Ø) (IP (NP mo) (VP f??)))))),,,,Embed
Iwe náà ni mo f??.,It is that book I want.,Focus,NOUN DET FOC PRON AUX,S ? FocP VP,(IP (NP Bàtà yìí) (IP (NP w??n) (VP rà á (PP ní ?jà))))),,,,Focus
"Bàtà yìí, w??n ra á ní ?jà.","These shoes, they bought them at the market.",Topicalization,"NOUN DET, PRON VERB PRON PREP NOUN",S ? Topic S,(IP (NP Adé) (VP f?? (VP wá (VP rà (NP ?k?? tuntun)))))),,,,Topical
Adé f?? wá ra ?k?? tuntun.,Ade wants to come buy a new car.,SVC,NOUN AUX VERB VERB NOUN ADJ,S ? NP VP,(IP (NP Mo) (VP f?? (CP (C kí) (IP (NP o) (VP m?? (CP (C pé) (IP (NP ó) (VP ?eé ?e))))))))),,,,—
Mo f?? kí o m?? pé ó ?eé ?e.,I want you to know that it is possible.,Complex,PRON AUX CONJ PRON VERB COMP PRON AUX VERB,S ? VP CP,(CP (QP ?é) (IP (NP ilé náà) (VP ti pari)))),,,,Embed
?é ilé náà ti pari?,Has the building been completed?,Interrogative,Q NOUN DET AUX VERB,S ? Q NP VP,(IP (NP Adé àti Tunde) (VP ?i??? (AdvP pap??)))),,,,Ques
Adé àti Tunde ?i??? pap??.,Ade and Tunde worked together.,Compound,NOUN CONJ NOUN VERB ADV,S ? NP VP,(IP (NP Ø) (VP kò y? (CP (C kí) (IP (NP w??n) (VP k?? (NP ??sùn))))))),,,,—
Kò y? kí w??n k? ??sùn.,They shouldn't file a complaint.,Negative,NEG AUX CONJ PRON VERB NOUN,S ? Neg VP,(IP (VP Tú (NP agbada náà))),,,,Neg
Tú agbada náà!,Empty that bowl!,Imperative,VERB NOUN DET,S ? VP,(IP (IP (NP Olú) (VP jí)) (CP (C ?ùgb??n) (IP (NP Adé) (VP sùn)))),,,,—
"Olú jí, ?ùgb??n Adé sùn.","Olu woke up, but Ade slept.",Compound,"NOUN VERB, CONJ NOUN VERB","S ? S , S",(IP (NP Mo) (VP rántí (CP (C pé) (IP (NP ó) (VP j?un)))))),,,,Comp
Mo rántí pé ó j?un.,I remember that he ate.,Complex,PRON VERB COMP PRON VERB,S ? NP VP CP,(NP (NP Obìnrin) (CP (C tí) (IP (NP mo) (VP rí y?n))) (ADJP l??wà))),,,,Embed
Obìnrin tí mo rí y?n l??wà.,The woman I saw is beautiful.,Relative Clause,NOUN REL PRON VERB DEM ADJ,NP ? NP CP,(IP (NP Òun) (VP ni (CP (C Ø) (IP (NP mo) (VP f?? (VP bá (NP s?r??)))))))),,,,Embed
Òun ni mo f?? bá s?r??.,It is him/her I want to talk with.,Focus,PRON FOC PRON AUX VERB VERB,S ? FocP VP,(IP (NP À?? yìí) (IP (NP mo) (VP rà á (PP lójú-??nà)))),,,,Focus
"À?? yìí, mo rà á lójú-??nà.","This cloth, I bought it on the road.",Topicalization,"NOUN DET, PRON VERB PRON PREP NOUN",S ? Topic S,(IP (NP Ó) (VP f?? (VP ra (NP bàtà tuntun))))),,,,Topical
Ó f?? ra bàtà tuntun.,He wants to buy new shoes.,SVC,PRON AUX VERB NOUN ADJ,S ? NP VP,(CP (NP Kí) (NP ni) (IP (NP w??n) (VP s? (CP (C pé) (IP (NP ó) (VP ?e))))))),,,,—
Kí ni w??n s? pé ó ?e?,What did they say he did?,Interrogative,WH AUX PRON VERB COMP PRON VERB,S ? WHP S,(IP (VP Dide)),,,,—
Dide ,Get up ,Imperative ,VERB,S— VP,(IP (NP Mo) (VP ra (NP ilé tuntun)))),,,,—
Mo ra ilé tuntun.,I bought a new house.,Simple,PRON VERB NOUN ADJ,S ? NP VP,(CP (QP ?é) (IP (NP ó) (VP ti dé)))),,,,—
?é ó ti dé?,Has he arrived?,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(IP (NP Ø) (VP kò gb?d?? (VP l? (PP sílé))))),,,,Ques
Kò gb?d?? l? sílé.,He must not go home.,Negative,NEG MOD VERB PREP NOUN,S ? Neg VP,(IP (VP Tú (NP omi náà))),,,,Neg
Tú omi náà!,Pour the water!,Imperative,VERB NOUN DET,S ? VP,(IP (IP (NP Adé) (VP sùn)) (IP (NP Olú) (VP jí))),,,,—
"Adé sùn, Olú jí.","Ade slept, Olu woke up.",Compound,"NOUN VERB, NOUN VERB","S ? S , S",(IP (NP Mo) (VP m?? (CP (C pé) (IP (NP ó) (VP l? (PP sí ilé))))))),,,,Comp
Mo m?? pé ó l? sí ilé.,I know that he went home.,Complex,PRON VERB COMP PRON VERB PREP NOUN,S ? VP CP,(NP (NP ?m?) (CP (C tí) (IP (NP ? k?rin))) (NP y?n) (ADJP l??wà))),,,,Embed
?m? tí ? k?rin y?n l??wà.,The child singing is beautiful.,Relative Clause,NOUN REL AUX VERB DEM ADJ,NP ? NP CP,(CP (CP (C Bí) (IP (NP mo) (VP bá rí i))) (IP (NP màá) (VP pe (NP ?))))),,,,Embed
"Bí mo bá rí i, màá pe ?.","If I see him, I’ll call you.",Conditional,"CONJ PRON AUX VERB PRON, AUX VERB PRON","S ? CP , S",(IP (NP Oúnj?) (VP ni (CP (C Ø) (IP (NP mo) (VP f??)))))),,,,"Embed, Comp"
Ounje ni mo f??.,It is food that I want.,Focus,NOUN FOC PRON AUX,S ? FocP VP,(IP (NP Bàtà náà) (IP (NP mo) (VP rà á (PP lójú-??nà))))),,,,Focus
"Bàtà náà, mo ra á lójú-??nà.","Those shoes, I bought them on the road.",Topicalization,"NOUN DET, PRON VERB PRON PREP NOUN",S ? Topic S,(IP (VP Jù ú nù (AdvP l??s??k?s??))),,,,Topical
Jù ú nù l??s??k?s??!,Throw it away immediately!,Imperative,VERB PRON ADV,S ? VP,(IP (NP Ø) (VP kò f?? (CP (C kí) (IP (NP a) (VP fi (NP ??) (PP síl??))))))),,,,—
Kò f?? kí a fi ?? síl??.,He doesn’t want us to leave you.,Negative,NEG AUX CONJ PRON VERB PRON ADV,S ? Neg VP CP,(IP (NP ?j?? tí a l?) (VP ni (NP ??la))),,,,"Embed, Neg"
?j?? tí a l? ni ??la.,The day we left is tomorrow.,Relative Clause,NOUN REL PRON VERB FOC NOUN,NP ? NP CP,(IP (NP Ìwé náà) (VP ni (CP (C Ø) (IP (NP mo) (VP f?? (VP ka))))))),,,,Embed
Iwe náà ni mo f?? ka.,It is that book I want to read.,Focus,NOUN DET FOC PRON AUX VERB,S ? FocP VP,(IP (NP Àgùntàn náà) (IP (NP w??n) (VP pa á (PP nígbà y?n))))),,,,Focus
"Àgùntàn náà, w??n pa á nígbà y?n.","The goat, they killed it that time.",Topicalization,"NOUN DET, PRON VERB PRON NOUN TIME",S ? Topic S,(CP (QP ?é) (IP (NP w??n) (VP f?? (VP j?un))))),,,,Topical
?é w?n f?? j?un?,Do they want to eat?,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(IP (NP Mo) (VP rá (NP a?? tuntun) (PP sí ?jà)))),,,,Ques
Mo rá a?? tuntun sí ?jà.,I sold a new cloth at the market.,Simple,PRON VERB NOUN ADJ PREP NOUN,S ? NP VP,(IP (VP K??rin (CP (C kí) (IP (NP o) (VP tó sùn)))))),,,,—
K??rin kí o tó sùn!,Sing before you sleep!,Imperative,VERB CONJ PRON CONJ VERB,S ? VP,(IP (IP (NP Adé) (VP l? (PP sí ilé))) (IP (NP ó) (VP ra (NP ?k??))))),,,,—
"Adé l? sí ilé, ó ra ?k??.","Ade went home, he bought a vehicle.",Compound,"NOUN VERB PREP NOUN, PRON VERB NOUN","S ? S , S",(IP (NP Mo) (VP rántí (CP (C pé) (IP (NP w??n) (VP k?? (NP orúk? mi))))))),,,,Comp
Mo rántí pé w??n k? orúk? mi.,I remember that they wrote my name.,Complex,PRON VERB COMP PRON VERB NOUN POSS,S ? NP VP CP,(NP (NP Obìnrin) (CP (C tí) (IP (NP mo) (VP rí (PP lójú-??nà)))) (ADJP l??wà))),,,,Embed
Obìnrin tí mo rí lójú-??nà l??wà.,The woman I saw on the road is beautiful.,Relative Clause,NOUN REL PRON VERB PREP NOUN ADJ,NP ? NP CP,(IP (NP Òun) (VP ni (CP (C Ø) (IP (NP mo) (VP f?? (VP bá (NP s??r??)))))))),,,,Embed
Òun ni mo f?? bá s??r??,It is him/her I want to talk with.,Focus,PRON FOC PRON AUX VERB PREP,S ? FocP VP,(IP (NP À?? yìí) (IP (NP mo) (VP rà á (PP ní ?jà))))),,,,Focus
"A?? yìí, mo rà á ní ?jà.","This cloth, I bought it in the market.",Topicalization,"NOUN DET, PRON VERB PRON PREP NOUN",S ? Topic S,(IP (NP Adé) (VP f?? (VP l? (VP wo (NP fiimu)))))),,,,Topical
Adé f?? l? wo fiimu.,Ade wants to go watch a film.,SVC,NOUN AUX VERB VERB NOUN,S ? NP VP,(CP (QP ?é) (IP (NP ?r? r??) (VP wà (PP n’ílé))))),,,,—
?é ?r? r?? wà n’ílé?,Is your friend at home?,Interrogative,Q NOUN POSS AUX PREP NOUN,S ? Q NP VP,(IP (NP Ø) (VP kò y? (CP (C kí) (IP (NP a) (VP s? (NP b??))))))),,,,Ques
Kò y? kí a s? b??.,We shouldn’t say that.,Negative,NEG AUX CONJ PRON VERB ADV,S ? Neg VP,(IP (VP Fi (NP ?b?? náà) (PP sínú ikòkò))),,,,Neg
Fi ?b?? náà sínú ikòkò.,Put that knife in the pot.,Imperative,VERB NOUN DET PREP NOUN,S ? VP,(IP (NP ?m? j??w??) (VP fi (NP mi) (PP síl??))),,,,—
"?m? j??w??, fi mi síl??.","Child please, leave me alone.",Compound,"NOUN DET ADV, VERB PRON ADV","S ? S , S",(IP (NP Mo) (VP rántí (CP (C pé) (IP (NP w??n) (VP l? (PP sílé))))))),,,,Comp
Mo rántí pé w??n l? sílé.,I remember they went home.,Complex,PRON VERB COMP PRON VERB PREP NOUN,S ? VP CP,(NP (NP Ilé) (CP (C tí) (IP (NP mo) (VP fi (NP ??bùn) (PP sí)))) (VP wà (PP lórí òke)))),,,,Embed
Ile tí mo fi ??bùn sí wà lórí òke.,The house that has  the gift is on the hill.,Relative Clause,NOUN REL PRON VERB NOUN PREP AUX PREP NOUN,NP ? NP CP,(IP (NP ??ka yìí) (VP ni (CP (C Ø) (IP (NP mo) (VP f?? (VP ?i???))))))),,,,Embed
??ka yìí ni mo f?? ?i???.,This department is where I want to work.,Focus,NOUN DET FOC PRON AUX VERB,S ? FocP VP,(IP (NP Bàtà y?n) (IP (NP w??n) (VP da pàdà))),,,,Focus
